#SampleID	Tissue	Wingband	Cage	Treatment	Collection_Day	D3_weight	D6_weight	D6_weight_group	D13_weight	D13_weight_group	Gain313	Gain613	Abx	Probiotic	Treatment2	Treatment3
TJPBXD03C47B1C	Ceca	158374	C47	5_BMD	D03	90.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C47B1I	Ileum	158374	C47	5_BMD	D03	90.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C47B2C	Ceca	158376	C47	5_BMD	D03	72.3	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C47B2I	Ileum	158376	C47	5_BMD	D03	72.3	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C54B1C	Ceca	158386	C54	5_BMD	D03	71.4	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C54B1I	Ileum	158386	C54	5_BMD	D03	71.4	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C54B2C	Ceca	158389	C54	5_BMD	D03	69.7	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C54B2I	Ileum	158389	C54	5_BMD	D03	69.7	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C58B1C	Ceca	158399	C58	5_BMD	D03	81.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C58B1I	Ileum	158399	C58	5_BMD	D03	81.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C58B2C	Ceca	158391	C58	5_BMD	D03	76.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C58B2I	Ileum	158391	C58	5_BMD	D03	76.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C04B2T	Trachea	158325	C04	5_BMD	D06	68.3	117.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C16B2T	Trachea	158340	C16	5_BMD	D06	74.2	101.9	Below_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C21B2T	Trachea	158343	C21	5_BMD	D06	80.4	134.1	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C25B2T	Trachea	158358	C25	5_BMD	D06	69.7	116.6	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C35B2T	Trachea	158367	C35	5_BMD	D06	75.1	125.4	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C54B2T	Trachea	158382	C54	5_BMD	D06	75.4	133	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D06C58B2T	Trachea	158393	C58	5_BMD	D06	76.6	114.4	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C04B1C	Ceca	158323	C04	5_BMD	D06	80.6	125.2	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C04B1I	Ileum	158323	C04	5_BMD	D06	80.6	125.2	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C04B2C	Ceca	158325	C04	5_BMD	D06	68.3	117.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C04B2I	Ileum	158325	C04	5_BMD	D06	68.3	117.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C16B1C	Ceca	158336	C16	5_BMD	D06	76.8	122.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C16B1I	Ileum	158336	C16	5_BMD	D06	76.8	122.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C16B2C	Ceca	158340	C16	5_BMD	D06	74.2	101.9	Below_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C16B2I	Ileum	158340	C16	5_BMD	D06	74.2	101.9	Below_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C21B1C	Ceca	158347	C21	5_BMD	D06	76	130.7	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C21B1I	Ileum	158347	C21	5_BMD	D06	76	130.7	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C21B2C	Ceca	158343	C21	5_BMD	D06	80.4	134.1	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C21B2I	Ileum	158343	C21	5_BMD	D06	80.4	134.1	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C25B1C	Ceca	158356	C25	5_BMD	D06	74.4	123.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C25B1I	Ileum	158356	C25	5_BMD	D06	74.4	123.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C25B2C	Ceca	158358	C25	5_BMD	D06	69.7	116.6	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C25B2I	Ileum	158358	C25	5_BMD	D06	69.7	116.6	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C35B1C	Ceca	158363	C35	5_BMD	D06	80.3	140.1	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C35B1I	Ileum	158363	C35	5_BMD	D06	80.3	140.1	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C35B2C	Ceca	158367	C35	5_BMD	D06	75.1	125.4	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C35B2I	Ileum	158367	C35	5_BMD	D06	75.1	125.4	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C47B1C	Ceca	158378	C47	5_BMD	D06	82	133.2	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C47B1I	Ileum	158378	C47	5_BMD	D06	82	133.2	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C47B2C	Ceca	158379	C47	5_BMD	D06	79	125	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C47B2I	Ileum	158379	C47	5_BMD	D06	79	125	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C54B1C	Ceca	158388	C54	5_BMD	D06	91.3	142.9	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C54B1I	Ileum	158388	C54	5_BMD	D06	91.3	142.9	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C54B2C	Ceca	158382	C54	5_BMD	D06	75.4	133	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C54B2I	Ileum	158382	C54	5_BMD	D06	75.4	133	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C58B1C	Ceca	158397	C58	5_BMD	D06	68	117.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C58B1I	Ileum	158397	C58	5_BMD	D06	68	117.5	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C58B2C	Ceca	158393	C58	5_BMD	D06	76.6	114.4	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD06C58B2I	Ileum	158393	C58	5_BMD	D06	76.6	114.4	Within_Goal	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D13C04B2T	Trachea	158328	C04	5_BMD	D13	73.8	127.3	Within_Goal	323.8	Within_Goal	250	196.5	Yes	No	BMD	Antibiotic
D13C16B2T	Trachea	158333	C16	5_BMD	D13	72.4	122.8	Within_Goal	295.4	Below_Goal	223	172.6	Yes	No	BMD	Antibiotic
D13C21B2T	Trachea	158346	C21	5_BMD	D13	80.5	132.4	Within_Goal	336.7	Within_Goal	256.2	204.3	Yes	No	BMD	Antibiotic
D13C25B2T	Trachea	158355	C25	5_BMD	D13	91.9	149.9	Within_Goal	344.9	Within_Goal	253	195	Yes	No	BMD	Antibiotic
D13C35B2T	Trachea	158364	C35	5_BMD	D13	72.6	116	Within_Goal	301.2	Below_Goal	228.6	185.2	Yes	No	BMD	Antibiotic
D13C47B2T	Trachea	158373	C47	5_BMD	D13	76.3	121.8	Within_Goal	342.6	Within_Goal	266.3	220.8	Yes	No	BMD	Antibiotic
D13C54B2T	Trachea	158381	C54	5_BMD	D13	79	129.5	Within_Goal	313.9	Within_Goal	234.9	184.4	Yes	No	BMD	Antibiotic
D13C58B2T	Trachea	158400	C58	5_BMD	D13	82.7	136.6	Within_Goal	356.8	Within_Goal	274.1	220.2	Yes	No	BMD	Antibiotic
TJPBXD13C04B1C	Ceca	158326	C04	5_BMD	D13	77	131.6	Within_Goal	328	Within_Goal	251	196.4	Yes	No	BMD	Antibiotic
TJPBXD13C04B1I	Ileum	158326	C04	5_BMD	D13	77	131.6	Within_Goal	328	Within_Goal	251	196.4	Yes	No	BMD	Antibiotic
TJPBXD13C04B2C	Ceca	158328	C04	5_BMD	D13	73.8	127.3	Within_Goal	323.8	Within_Goal	250	196.5	Yes	No	BMD	Antibiotic
TJPBXD13C04B2I	Ileum	158328	C04	5_BMD	D13	73.8	127.3	Within_Goal	323.8	Within_Goal	250	196.5	Yes	No	BMD	Antibiotic
TJPBXD13C16B1C	Ceca	158337	C16	5_BMD	D13	75.2	122.1	Within_Goal	317.8	Within_Goal	242.6	195.7	Yes	No	BMD	Antibiotic
TJPBXD13C16B1I	Ileum	158337	C16	5_BMD	D13	75.2	122.1	Within_Goal	317.8	Within_Goal	242.6	195.7	Yes	No	BMD	Antibiotic
TJPBXD13C16B2C	Ceca	158333	C16	5_BMD	D13	72.4	122.8	Within_Goal	295.4	Below_Goal	223	172.6	Yes	No	BMD	Antibiotic
TJPBXD13C16B2I	Ileum	158333	C16	5_BMD	D13	72.4	122.8	Within_Goal	295.4	Below_Goal	223	172.6	Yes	No	BMD	Antibiotic
TJPBXD13C21B1C	Ceca	158345	C21	5_BMD	D13	80.9	137.6	Within_Goal	344.8	Within_Goal	263.9	207.2	Yes	No	BMD	Antibiotic
TJPBXD13C21B1I	Ileum	158345	C21	5_BMD	D13	80.9	137.6	Within_Goal	344.8	Within_Goal	263.9	207.2	Yes	No	BMD	Antibiotic
TJPBXD13C21B2C	Ceca	158346	C21	5_BMD	D13	80.5	132.4	Within_Goal	336.7	Within_Goal	256.2	204.3	Yes	No	BMD	Antibiotic
TJPBXD13C21B2I	Ileum	158346	C21	5_BMD	D13	80.5	132.4	Within_Goal	336.7	Within_Goal	256.2	204.3	Yes	No	BMD	Antibiotic
TJPBXD13C25B1C	Ceca	158354	C25	5_BMD	D13	76.1	136.5	Within_Goal	313.2	Below_Goal	237.1	176.7	Yes	No	BMD	Antibiotic
TJPBXD13C25B1I	Ileum	158354	C25	5_BMD	D13	76.1	136.5	Within_Goal	313.2	Below_Goal	237.1	176.7	Yes	No	BMD	Antibiotic
TJPBXD13C25B2C	Ceca	158355	C25	5_BMD	D13	91.9	149.9	Within_Goal	344.9	Within_Goal	253	195	Yes	No	BMD	Antibiotic
TJPBXD13C25B2I	Ileum	158355	C25	5_BMD	D13	91.9	149.9	Within_Goal	344.9	Within_Goal	253	195	Yes	No	BMD	Antibiotic
TJPBXD13C35B1C	Ceca	158365	C35	5_BMD	D13	83.6	138.8	Within_Goal	315	Within_Goal	231.4	176.2	Yes	No	BMD	Antibiotic
TJPBXD13C35B1I	Ileum	158365	C35	5_BMD	D13	83.6	138.8	Within_Goal	315	Within_Goal	231.4	176.2	Yes	No	BMD	Antibiotic
TJPBXD13C35B2C	Ceca	158364	C35	5_BMD	D13	72.6	116	Within_Goal	301.2	Below_Goal	228.6	185.2	Yes	No	BMD	Antibiotic
TJPBXD13C35B2I	Ileum	158364	C35	5_BMD	D13	72.6	116	Within_Goal	301.2	Below_Goal	228.6	185.2	Yes	No	BMD	Antibiotic
TJPBXD13C47B1C	Ceca	158375	C47	5_BMD	D13	83.1	128.3	Within_Goal	302	Below_Goal	218.9	173.7	Yes	No	BMD	Antibiotic
TJPBXD13C47B1I	Ileum	158375	C47	5_BMD	D13	83.1	128.3	Within_Goal	302	Below_Goal	218.9	173.7	Yes	No	BMD	Antibiotic
TJPBXD13C47B2C	Ceca	158373	C47	5_BMD	D13	76.3	121.8	Within_Goal	342.6	Within_Goal	266.3	220.8	Yes	No	BMD	Antibiotic
TJPBXD13C47B2I	Ileum	158373	C47	5_BMD	D13	76.3	121.8	Within_Goal	342.6	Within_Goal	266.3	220.8	Yes	No	BMD	Antibiotic
TJPBXD13C54B1C	Ceca	158383	C54	5_BMD	D13	82.8	133.7	Within_Goal	333.4	Within_Goal	250.6	199.7	Yes	No	BMD	Antibiotic
TJPBXD13C54B1I	Ileum	158383	C54	5_BMD	D13	82.8	133.7	Within_Goal	333.4	Within_Goal	250.6	199.7	Yes	No	BMD	Antibiotic
TJPBXD13C54B2C	Ceca	158381	C54	5_BMD	D13	79	129.5	Within_Goal	313.9	Within_Goal	234.9	184.4	Yes	No	BMD	Antibiotic
TJPBXD13C54B2I	Ileum	158381	C54	5_BMD	D13	79	129.5	Within_Goal	313.9	Within_Goal	234.9	184.4	Yes	No	BMD	Antibiotic
TJPBXD13C58B1C	Ceca	158394	C58	5_BMD	D13	67.6	109	Below_Goal	274.9	Below_Goal	207.3	165.9	Yes	No	BMD	Antibiotic
TJPBXD13C58B1I	Ileum	158394	C58	5_BMD	D13	67.6	109	Below_Goal	274.9	Below_Goal	207.3	165.9	Yes	No	BMD	Antibiotic
TJPBXD13C58B2C	Ceca	158400	C58	5_BMD	D13	82.7	136.6	Within_Goal	356.8	Within_Goal	274.1	220.2	Yes	No	BMD	Antibiotic
TJPBXD13C58B2I	Ileum	158400	C58	5_BMD	D13	82.7	136.6	Within_Goal	356.8	Within_Goal	274.1	220.2	Yes	No	BMD	Antibiotic
D03C03B2T	Trachea	158161	C03	3_FMB11GroGel	D03	78.4	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C08B2T	Trachea	158179	C08	3_FMB11GroGel	D03	89.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C17B2T	Trachea	158184	C17	3_FMB11GroGel	D03	85.9	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C27B2T	Trachea	158199	C27	3_FMB11GroGel	D03	70.2	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C33B2T	Trachea	158205	C33	3_FMB11GroGel	D03	83.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C43B2T	Trachea	158218	C43	3_FMB11GroGel	D03	85.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C56B2T	Trachea	158227	C56	3_FMB11GroGel	D03	67.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D03C62B2T	Trachea	158236	C62	3_FMB11GroGel	D03	79.7	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C03B1C	Ceca	158165	C03	3_FMB11GroGel	D03	76.5	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C03B1I	Ileum	158165	C03	3_FMB11GroGel	D03	76.5	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C03B2C	Ceca	158161	C03	3_FMB11GroGel	D03	78.4	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C03B2I	Ileum	158161	C03	3_FMB11GroGel	D03	78.4	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C08B1C	Ceca	158173	C08	3_FMB11GroGel	D03	92.8	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C08B1I	Ileum	158173	C08	3_FMB11GroGel	D03	92.8	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C08B2C	Ceca	158179	C08	3_FMB11GroGel	D03	89.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C08B2I	Ileum	158179	C08	3_FMB11GroGel	D03	89.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C17B1C	Ceca	158187	C17	3_FMB11GroGel	D03	79.6	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C17B1I	Ileum	158187	C17	3_FMB11GroGel	D03	79.6	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C17B2C	Ceca	158184	C17	3_FMB11GroGel	D03	85.9	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C17B2I	Ileum	158184	C17	3_FMB11GroGel	D03	85.9	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C27B1C	Ceca	158195	C27	3_FMB11GroGel	D03	86.8	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C27B1I	Ileum	158195	C27	3_FMB11GroGel	D03	86.8	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C27B2C	Ceca	158199	C27	3_FMB11GroGel	D03	70.2	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C27B2I	Ileum	158199	C27	3_FMB11GroGel	D03	70.2	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C33B1C	Ceca	158201	C33	3_FMB11GroGel	D03	96.9	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C33B1I	Ileum	158201	C33	3_FMB11GroGel	D03	96.9	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C33B2C	Ceca	158205	C33	3_FMB11GroGel	D03	83.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C33B2I	Ileum	158205	C33	3_FMB11GroGel	D03	83.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C43B1C	Ceca	158213	C43	3_FMB11GroGel	D03	94.6	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C43B1I	Ileum	158213	C43	3_FMB11GroGel	D03	94.6	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C43B2C	Ceca	158218	C43	3_FMB11GroGel	D03	85.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C43B2I	Ileum	158218	C43	3_FMB11GroGel	D03	85.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C56B1C	Ceca	158230	C56	3_FMB11GroGel	D03	76.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C56B1I	Ileum	158230	C56	3_FMB11GroGel	D03	76.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C56B2C	Ceca	158227	C56	3_FMB11GroGel	D03	67.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C56B2I	Ileum	158227	C56	3_FMB11GroGel	D03	67.3	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C62B1C	Ceca	158237	C62	3_FMB11GroGel	D03	71.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C62B1I	Ileum	158237	C62	3_FMB11GroGel	D03	71.1	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C62B2C	Ceca	158236	C62	3_FMB11GroGel	D03	79.7	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD03C62B2I	Ileum	158236	C62	3_FMB11GroGel	D03	79.7	NA	NA	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C03B2T	Trachea	158168	C03	3_FMB11GroGel	D06	61.1	116.2	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C08B2T	Trachea	158177	C08	3_FMB11GroGel	D06	92.9	129	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C17B2T	Trachea	158182	C17	3_FMB11GroGel	D06	82.4	128.6	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C27B2T	Trachea	158194	C27	3_FMB11GroGel	D06	91	119.5	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C33B2T	Trachea	158202	C33	3_FMB11GroGel	D06	97	135.4	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C43B2T	Trachea	158220	C43	3_FMB11GroGel	D06	104	135.7	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C56B2T	Trachea	158225	C56	3_FMB11GroGel	D06	80.3	140.9	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
D06C62B2T	Trachea	158239	C62	3_FMB11GroGel	D06	90.3	150	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C03B1C	Ceca	158166	C03	3_FMB11GroGel	D06	83.5	141.8	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C03B1I	Ileum	158166	C03	3_FMB11GroGel	D06	83.5	141.8	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C03B2C	Ceca	158168	C03	3_FMB11GroGel	D06	61.1	116.2	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C03B2I	Ileum	158168	C03	3_FMB11GroGel	D06	61.1	116.2	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C08B1C	Ceca	158180	C08	3_FMB11GroGel	D06	80.2	131.9	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C08B1I	Ileum	158180	C08	3_FMB11GroGel	D06	80.2	131.9	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C08B2C	Ceca	158177	C08	3_FMB11GroGel	D06	92.9	129	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C08B2I	Ileum	158177	C08	3_FMB11GroGel	D06	92.9	129	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C17B1C	Ceca	158186	C17	3_FMB11GroGel	D06	98.4	138.6	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C17B1I	Ileum	158186	C17	3_FMB11GroGel	D06	98.4	138.6	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C17B2C	Ceca	158182	C17	3_FMB11GroGel	D06	82.4	128.6	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C17B2I	Ileum	158182	C17	3_FMB11GroGel	D06	82.4	128.6	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C27B1C	Ceca	158191	C27	3_FMB11GroGel	D06	78.6	132.1	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
TJPBXD06C27B1I	Ileum	158191	C27	3_FMB11GroGel	D06	78.6	132.1	Within_Goal	NA	NA	NA	NA	No	Yes	FMB11	Probiotic
